,split-type,sim
0,k-fold,0.915635487951817
1,fam-fold,0.3599848941564496
2,hl10-fold,0.7710909726835615
3,hl25-fold,0.8614545170569615
4,hl50-fold,0.9077468780620824
5,hl75-fold,0.9474745803076096
6,hl90-fold,0.9650318305349589
